Date,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar,Weight,Body Fat %
2021-5-26,1882.0,133.0,88.0,149.0,3033.0,44.0,165.5,
2021-5-27,2284.0,238.0,78.0,174.0,1597.0,126.0,166.6,
2021-5-28,2038.0,238.0,65.0,137.0,1319.0,96.0,165.4,
2021-5-29,1922.0,208.0,62.0,151.0,1715.0,91.0,165.3,
2021-5-30,1825.0,199.0,60.0,132.0,2323.0,96.0,166.6,
2021-5-31,2140.0,201.0,77.0,181.0,1521.0,74.0,167.5,
2021-6-1,2037.0,201.0,68.0,157.0,1706.0,81.0,166.8,
2021-6-2,,,,,,,166.9,
2021-6-3,2206.0,276.0,54.0,174.0,1730.0,120.0,166.5,
2021-6-4,1969.0,252.0,53.0,142.0,1181.0,113.0,166.0,
2021-6-5,1885.0,219.0,60.0,147.0,1713.0,103.0,165.3,
2021-6-6,2166.0,254.0,71.0,144.0,2695.0,88.0,164.3,
2021-6-7,1993.0,201.0,59.0,172.0,3163.0,52.0,166.4,
2021-6-8,982.0,85.0,34.0,75.0,2035.0,6.0,165.4,
2021-6-9,1551.0,181.0,56.0,83.0,1339.0,62.0,166.0,
2021-6-10,1062.0,98.0,46.0,64.0,1268.0,7.0,167.3,
2021-6-11,2169.0,176.0,87.0,181.0,3443.0,34.0,166.6,
2021-6-12,1941.0,173.0,71.0,166.0,2847.0,88.0,165.6,
2021-6-13,2563.0,283.0,93.0,171.0,4488.0,85.0,163.9,
2021-6-14,2351.0,186.0,104.0,185.0,4622.0,54.0,166.3,
2021-6-15,1981.0,153.0,79.0,168.0,2435.0,61.0,165.1,17.1
2021-6-16,1985.0,150.0,78.0,180.0,3970.0,41.0,164.7,17.2
2021-6-17,2278.0,196.0,96.0,177.0,3491.0,76.0,163.6,17.2
2021-6-18,2386.0,191.0,96.0,203.0,3302.0,63.0,164.2,17.2
2021-6-19,3125.0,301.0,148.0,130.0,4047.0,133.0,164.6,16.8
2021-6-20,,,,,,,167.1,17.2
2021-6-21,,,,,,,167.0,17.4
2021-6-22,,,,,,,166.7,17.9
2021-6-23,,,,,,,167.1,18.0
2021-6-24,3242.0,325.0,121.0,218.0,5824.0,116.0,166.6,17.8
2021-6-25,3572.0,415.0,137.0,155.0,5273.0,149.0,166.1,17.8
2021-6-26,3447.0,361.0,109.0,186.0,3594.0,100.0,168.4,17.9
2021-6-27,3072.0,352.0,115.0,164.0,4284.0,146.0,169.2,17.7
2021-6-28,3247.0,398.0,105.0,162.0,3855.0,204.0,167.9,17.4
2021-6-29,3331.0,351.0,118.0,235.0,3058.0,122.0,168.2,18.0
2021-6-30,2870.0,297.0,102.0,194.0,2692.0,108.0,166.0,18.1
2021-7-1,2844.0,285.0,124.0,151.0,2217.0,160.0,167.0,18.3
2021-7-2,3251.0,338.0,145.0,82.0,2670.0,217.0,168.5,18.2
2021-7-3,3359.0,317.0,125.0,146.0,2032.0,220.0,169.4,17.7
2021-7-4,3063.0,364.0,105.0,139.0,3605.0,110.0,169.0,17.6
2021-7-5,3025.0,338.0,103.0,190.0,3254.0,132.0,170.8,18.4
2021-7-6,1804.0,172.0,77.0,103.0,1897.0,85.0,168.6,18.4
2021-7-7,1680.0,197.0,56.0,106.0,3107.0,27.0,170.0,18.5
2021-7-8,2629.0,283.0,72.0,213.0,4718.0,112.0,171.1,18.2
2021-7-9,2951.0,416.0,77.0,189.0,5551.0,157.0,169.2,18.2
2021-7-10,2558.0,249.0,70.0,153.0,955.0,83.0,170.6,18.2
2021-7-11,2408.0,201.0,98.0,180.0,3512.0,56.0,169.4,18.7
2021-7-12,2490.0,293.0,76.0,172.0,3067.0,143.0,168.7,18.9
2021-7-13,2961.0,299.0,109.0,196.0,3989.0,100.0,167.0,18.5
2021-7-14,2694.0,234.0,89.0,140.0,2545.0,95.0,166.8,18.0
2021-7-15,2426.0,215.0,104.0,175.0,1919.0,61.0,168.4,18.5
2021-7-16,2611.0,337.0,101.0,108.0,1769.0,100.0,168.1,17.8
2021-7-17,2669.0,262.0,112.0,161.0,5253.0,110.0,168.6,17.8
2021-7-18,3107.0,298.0,123.0,191.0,2068.0,149.0,169.0,17.5
2021-7-19,2380.0,275.0,75.0,165.0,2147.0,123.0,169.1,18.6
2021-7-20,2666.0,274.0,91.0,212.0,3727.0,117.0,167.5,18.2
2021-7-21,2363.0,187.0,101.0,196.0,1286.0,78.0,169.2,18.0
2021-7-22,2717.0,279.0,80.0,217.0,3973.0,122.0,167.8,18.1
2021-7-23,2304.0,263.0,73.0,151.0,2468.0,133.0,168.2,17.7
2021-7-24,2695.0,271.0,106.0,177.0,6100.0,96.0,168.0,17.6
2021-7-25,3128.0,324.0,156.0,105.0,3005.0,211.0,168.9,17.7
2021-7-26,3012.0,315.0,109.0,207.0,2640.0,122.0,168.9,18.0
2021-7-27,2480.0,304.0,76.0,158.0,1985.0,87.0,167.6,17.9
2021-7-28,2173.0,220.0,69.0,177.0,2910.0,63.0,167.4,18.4
